doc_id,title,target_section,found,section_title,page_start,page_end,quality_issue,notes
000063_中兴通讯_2021年报,中兴通讯,会计政策,yes,14. 在建工程,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,开发支出;table;note"
000063_中兴通讯_2021年报,中兴通讯,研发费用,yes,3、本集团研发投入情况,,,page_unavailable,"keyword:研发投入;positive:研发投入金额,资本化的金额,研发投入资本化的金额,资本化研发投入占研发投入的比例,研发投入占营业收入比例;table;heading;note"
000063_中兴通讯_2021年报,中兴通讯,开发支出,yes,（四）本公司发行股份购买资产并募集配套资金情况,,,no_positive_keyword;page_unavailable,keyword:研发项目;table
000063_中兴通讯_2021年报,中兴通讯,管理层讨论,yes,（二）管理层讨论与分析,,,page_unavailable,"keyword:管理层讨论与分析;positive:研发投入金额,研发人员数量,资本化的金额,资本化研发投入占研发投入的比例;table;heading;note"
000063_中兴通讯_2021年报,中兴通讯,无形资产附注,yes,10. 长期股权投资(续),,,page_unavailable,"keyword:减值准备;positive:内部研发,减值准备,累计摊销;table;note"
000063_中兴通讯_2022年报,中兴通讯,会计政策,yes,14. 在建工程,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,开发支出;table;note"
000063_中兴通讯_2022年报,中兴通讯,研发费用,yes,3.2.3.3 研发投入,,,page_unavailable,"keyword:研发投入;positive:研发投入金额,资本化的金额,研发投入资本化的金额,资本化研发投入占研发投入的比例,研发投入占营业收入比例;table;heading;note"
000063_中兴通讯_2022年报,中兴通讯,开发支出,yes,（d） 开发支出,,,low_score(19);negative_keyword_hit;no_positive_keyword;page_unavailable,keyword:开发支出;negative:资产负债表;table;heading;note;balance_sheet_penalty
000063_中兴通讯_2022年报,中兴通讯,管理层讨论,yes,3.2.3.3 研发投入,,,page_unavailable,"keyword:研发投入情况;positive:研发投入金额,研发人员数量,资本化的金额,资本化研发投入占研发投入的比例;table;heading;note"
000063_中兴通讯_2022年报,中兴通讯,无形资产附注,yes,五、 合并财务报表主要项目注释（续）,,,page_unavailable,"keyword:无形资产;positive:内部研发,减值准备,累计摊销;table;heading;note"
000063_中兴通讯_2023年报,中兴通讯,会计政策,yes,三、 重要会计政策及会计估计（续）,,,page_unavailable,"keyword:重要会计政策及会计估计;positive:研究阶段,开发阶段,内部研究开发,资本化条件,开发支出;table;heading;note"
000063_中兴通讯_2023年报,中兴通讯,研发费用,yes,（3）消费者业务,,,page_unavailable,"keyword:研发投入;positive:研发投入金额,费用化的金额,资本化的金额,资本化研发投入占研发投入的比例,研发投入占营业收入比例;table"
000063_中兴通讯_2023年报,中兴通讯,开发支出,yes,三、重要会计政策及会计估计,,,page_unavailable,keyword:开发支出;positive:期末余额
000063_中兴通讯_2023年报,中兴通讯,管理层讨论,yes,2.2.2.3 研发投入,,,page_unavailable,"keyword:研发投入情况;positive:研发投入金额,研发人员数量,费用化的金额,资本化的金额,资本化研发投入占研发投入的比例;table;heading;note"
000063_中兴通讯_2023年报,中兴通讯,无形资产附注,yes,五、 合并财务报表主要项目注释（续）,,,page_unavailable,"keyword:无形资产;positive:内部研发,减值准备,累计摊销;table;heading;note"
000538_云南白药_2021年报,云南白药,会计政策,yes,25、在建工程,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,开发支出;note"
000538_云南白药_2021年报,云南白药,研发费用,yes,4、研发投入,,,page_unavailable,"keyword:研发投入;positive:研发投入金额,资本化的金额,研发投入资本化的金额,资本化研发投入占研发投入的比例,研发投入占营业收入比例;table;heading"
000538_云南白药_2021年报,云南白药,开发支出,yes,4、研发投入,,,low_score(18);negative_keyword_hit;no_positive_keyword;page_unavailable,keyword:研发项目;negative:流动资产;table
000538_云南白药_2021年报,云南白药,管理层讨论,yes,第三节 管理层讨论与分析,,,no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;heading
000538_云南白药_2021年报,云南白药,无形资产附注,yes,18、无形资产,,,page_unavailable,"keyword:无形资产;positive:内部研发,本期增加,本期减少,减值准备,累计摊销;table;heading"
000538_云南白药_2022年报,云南白药,会计政策,yes,25、在建工程,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,开发支出;note"
000538_云南白药_2022年报,云南白药,研发费用,yes,6、持续加大研发投入，自研与产品引进双管齐下，推动打造全新增长极,,,page_unavailable,keyword:研发投入;positive:研发投入金额;heading
000538_云南白药_2022年报,云南白药,开发支出,yes,（2）未办妥产权证书的土地使用权情况：无,,,page_unavailable,"keyword:开发支出;positive:本期增加,本期减少,期初余额,期末余额,内部开发支出;table;heading"
000538_云南白药_2022年报,云南白药,管理层讨论,yes,第三节 管理层讨论与分析,,,no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;heading
000538_云南白药_2022年报,云南白药,无形资产附注,yes,26、无形资产,,,page_unavailable,"keyword:无形资产;positive:内部研发,本期增加,本期减少,减值准备,累计摊销;table;heading"
000538_云南白药_2023年报,云南白药,会计政策,yes,（2）生产性生物资产,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件;note"
000538_云南白药_2023年报,云南白药,研发费用,yes,（4）持续加大研发创新投入，以科学高效的研发管理体系夯实研发战略目标,,,no_positive_keyword;page_unavailable,keyword:研发投入;table;heading
000538_云南白药_2023年报,云南白药,开发支出,yes,35、长期借款,,,page_unavailable,"keyword:研发项目;positive:本期增加,本期减少,期初余额,期末余额;table"
000538_云南白药_2023年报,云南白药,管理层讨论,yes,第三节 管理层讨论与分析,,,low_score(10);negative_keyword_hit;no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;negative:董事长;heading
000538_云南白药_2023年报,云南白药,无形资产附注,yes,（2） 存货跌价准备和合同履约成本减值准备,,,page_unavailable,"keyword:减值准备;positive:本期增加,本期减少,减值准备,累计摊销,期末余额;table;heading"
000661_长春高新_2021年报,长春高新,会计政策,yes,（2）资本化金额计算方法,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,开发支出;heading;note"
000661_长春高新_2021年报,长春高新,研发费用,yes,（2）产品研发,,,no_positive_keyword;page_unavailable,keyword:研发投入;table;note
000661_长春高新_2021年报,长春高新,开发支出,yes,（2）产品研发,,,no_positive_keyword;page_unavailable,keyword:研发项目;table;note
000661_长春高新_2021年报,长春高新,管理层讨论,yes,第三节 管理层讨论与分析,,,no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;table;heading
000661_长春高新_2021年报,长春高新,无形资产附注,yes,（3）本期计提在建工程减值准备情况,,,page_unavailable,"keyword:减值准备;positive:内部研发,本期增加,本期减少,减值准备,累计摊销;table;heading"
000661_长春高新_2022年报,长春高新,会计政策,yes,（2）资本化金额计算方法,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,开发支出;heading;note"
000661_长春高新_2022年报,长春高新,研发费用,yes,4、研发投入,,,page_unavailable,"keyword:研发投入;positive:研发投入金额,资本化的金额,研发投入资本化的金额,资本化研发投入占研发投入的比例,研发投入占营业收入比例;table;heading"
000661_长春高新_2022年报,长春高新,开发支出,yes,（2）项目建设,,,no_positive_keyword;page_unavailable,keyword:在研项目;table
000661_长春高新_2022年报,长春高新,管理层讨论,yes,第三节 管理层讨论与分析,,,no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;table;heading
000661_长春高新_2022年报,长春高新,无形资产附注,yes,14、无形资产,,,page_unavailable,"keyword:无形资产;positive:内部研发,本期增加,本期减少,减值准备,累计摊销;table;heading"
000661_长春高新_2023年报,长春高新,会计政策,yes,23、借款费用,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,达到预定用途;heading;note"
000661_长春高新_2023年报,长春高新,研发费用,yes,4、研发投入,,,page_unavailable,"keyword:研发投入;positive:研发投入金额,资本化的金额,研发投入资本化的金额,资本化研发投入占研发投入的比例,研发投入占营业收入比例;table;heading"
000661_长春高新_2023年报,长春高新,开发支出,yes,（3） 与筹资活动有关的现金,,,page_unavailable,"keyword:研发项目;positive:本期增加,本期减少,期初余额,期末余额;table;note"
000661_长春高新_2023年报,长春高新,管理层讨论,yes,第三节 管理层讨论与分析,,,no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;table;heading
000661_长春高新_2023年报,长春高新,无形资产附注,yes,15、无形资产,,,page_unavailable,"keyword:无形资产;positive:内部研发,本期增加,本期减少,减值准备,累计摊销;table;heading"
000725_京东方A_2021年报,京东方A,会计政策,yes,(2) 固定资产的折旧方法,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,开发支出;table;note"
000725_京东方A_2021年报,京东方A,研发费用,yes,4、研发投入,,,page_unavailable,"keyword:研发投入;positive:研发投入金额,资本化的金额,研发投入资本化的金额,资本化研发投入占研发投入的比例,研发投入占营业收入比例;table;heading"
000725_京东方A_2021年报,京东方A,开发支出,yes,5、现金流,,,no_positive_keyword;page_unavailable,keyword:研发项目;table
000725_京东方A_2021年报,京东方A,管理层讨论,yes,第三节 管理层讨论与分析,,,no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;heading
000725_京东方A_2021年报,京东方A,无形资产附注,yes,9、 持有待售资产,,,page_unavailable,"keyword:减值准备;positive:减值准备,累计摊销,期末余额;table;note"
000725_京东方A_2022年报,京东方A,会计政策,yes,(2) 固定资产的折旧方法,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,开发支出;table;note"
000725_京东方A_2022年报,京东方A,研发费用,yes,4、研发投入,,,page_unavailable,"keyword:研发投入;positive:研发投入金额,资本化的金额,研发投入资本化的金额,资本化研发投入占研发投入的比例,研发投入占营业收入比例;table;heading"
000725_京东方A_2022年报,京东方A,开发支出,yes,5、现金流,,,no_positive_keyword;page_unavailable,keyword:研发项目;table
000725_京东方A_2022年报,京东方A,管理层讨论,yes,第三节 管理层讨论与分析,,,no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;heading
000725_京东方A_2022年报,京东方A,无形资产附注,yes,(3) 减值测试方法及减值准备计提方法参见附注三、19。,,,page_unavailable,"keyword:减值准备;positive:减值准备,累计摊销;table;heading;note"
000725_京东方A_2023年报,京东方A,会计政策,yes,17、 无形资产,,,page_unavailable,"keyword:无形资产;positive:研究阶段,开发阶段,内部研究开发,资本化条件,开发支出;table;heading;note"
000725_京东方A_2023年报,京东方A,研发费用,yes,4、研发投入,,,page_unavailable,"keyword:研发投入;positive:研发投入金额,资本化的金额,研发投入资本化的金额,资本化研发投入占研发投入的比例,研发投入占营业收入比例;table;heading"
000725_京东方A_2023年报,京东方A,开发支出,yes,5、现金流,,,no_positive_keyword;page_unavailable,keyword:研发项目;table
000725_京东方A_2023年报,京东方A,管理层讨论,yes,第三节 管理层讨论与分析,,,low_score(10);negative_keyword_hit;no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;negative:公司简介;heading
000725_京东方A_2023年报,京东方A,无形资产附注,yes,18、 无形资产,,,page_unavailable,"keyword:无形资产;positive:开发支出转入,减值准备,累计摊销;table;heading"
000963_华东医药_2021年报,华东医药,会计政策,yes,26、借款费用,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,开发支出;table;heading"
000963_华东医药_2021年报,华东医药,研发费用,yes,4、研发投入,,,no_positive_keyword;page_unavailable,keyword:研发投入;table;heading
000963_华东医药_2021年报,华东医药,开发支出,yes,（2）内部研究开发支出会计政策,,,negative_keyword_hit;page_unavailable,"keyword:开发支出;positive:确认为无形资产,转入当期损益;negative:资产负债表;table;heading;balance_sheet_penalty"
000963_华东医药_2021年报,华东医药,管理层讨论,yes,第三节 管理层讨论与分析,,,no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;heading
000963_华东医药_2021年报,华东医药,无形资产附注,yes,（3）本期计提在建工程减值准备情况,,,page_unavailable,"keyword:减值准备;positive:内部研发,本期增加,本期减少,减值准备,累计摊销;table;heading"
000963_华东医药_2022年报,华东医药,会计政策,yes,2. 借款费用资本化期间,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,开发支出;table;heading"
000963_华东医药_2022年报,华东医药,研发费用,yes,4、研发投入,,,no_positive_keyword;page_unavailable,keyword:研发投入;table;heading
000963_华东医药_2022年报,华东医药,开发支出,yes,27、开发支出,,,negative_keyword_hit;page_unavailable,"keyword:开发支出;positive:本期增加,本期减少,期初余额,期末余额,资本化开始时点;negative:流动资产,非流动资产;table;heading"
000963_华东医药_2022年报,华东医药,管理层讨论,yes,第三节管理层讨论与分析,,,no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;heading
000963_华东医药_2022年报,华东医药,无形资产附注,yes,（3）本期计提在建工程减值准备情况,,,page_unavailable,"keyword:减值准备;positive:内部研发,本期增加,本期减少,减值准备,累计摊销;table;heading"
000963_华东医药_2023年报,华东医药,会计政策,yes,3. 借款费用资本化率以及资本化金额,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件;table;heading"
000963_华东医药_2023年报,华东医药,研发费用,yes,4、研发投入,,,no_positive_keyword;page_unavailable,keyword:研发投入;table;heading
000963_华东医药_2023年报,华东医药,开发支出,yes,（1）研发总体情况,,,no_positive_keyword;page_unavailable,keyword:在研项目;table
000963_华东医药_2023年报,华东医药,管理层讨论,yes,第三节管理层讨论与分析,,,no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;table;heading
000963_华东医药_2023年报,华东医药,无形资产附注,yes,（3）本期计提在建工程减值准备情况,,,page_unavailable,"keyword:减值准备;positive:内部研发,本期增加,本期减少,减值准备,累计摊销;table;heading"
000977_浪潮信息_2021年报,浪潮信息,会计政策,yes,（2）资本化金额计算方法,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,达到预定用途;heading"
000977_浪潮信息_2021年报,浪潮信息,研发费用,yes,4、研发投入,,,page_unavailable,"keyword:研发投入;positive:研发投入金额,资本化的金额,研发投入资本化的金额,资本化研发投入占研发投入的比例,研发投入占营业收入比例;table;heading"
000977_浪潮信息_2021年报,浪潮信息,开发支出,yes,5、现金流,,,no_positive_keyword;page_unavailable,keyword:研发项目;table
000977_浪潮信息_2021年报,浪潮信息,管理层讨论,yes,第三节 管理层讨论与分析,,,no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;table;heading
000977_浪潮信息_2021年报,浪潮信息,无形资产附注,yes,14、无形资产,,,page_unavailable,"keyword:无形资产;positive:内部研发,本期增加,本期减少,减值准备,累计摊销;table;heading"
000977_浪潮信息_2022年报,浪潮信息,会计政策,yes,（2）资本化金额计算方法,,,page_unavailable,"keyword:资本化;positive:研究阶段,开发阶段,内部研究开发,资本化条件,达到预定用途;heading"
000977_浪潮信息_2022年报,浪潮信息,研发费用,yes,4、研发投入,,,page_unavailable,"keyword:研发投入;positive:研发投入金额,资本化的金额,研发投入资本化的金额,资本化研发投入占研发投入的比例,研发投入占营业收入比例;table;heading"
000977_浪潮信息_2022年报,浪潮信息,开发支出,yes,3、董事、监事、高级管理人员报酬情况,,,no_positive_keyword;page_unavailable,keyword:研发项目;table
000977_浪潮信息_2022年报,浪潮信息,管理层讨论,yes,第三节 管理层讨论与分析,,,no_positive_keyword;page_unavailable,keyword:管理层讨论与分析;table;heading
000977_浪潮信息_2022年报,浪潮信息,无形资产附注,yes,（3） 本期计提在建工程减值准备情况,,,page_unavailable,"keyword:减值准备;positive:内部研发,本期增加,本期减少,减值准备,累计摊销;table;heading"
